Year,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlightsPerCraft,TotalFlights,TotalDistance,TotalAirTimePerCraft,DaysFlownPerCraft,AvgAirTimePerDay,AvgFlightsPerDay,TotalAirTime,cancelled,Month
2005,WN,Southwest Airlines Co.,12,8759.00,8759.00,4346744,0.00,350.00,0.00,24.62,0.00,1,Total
2005,US,US Airways Inc.,3447,1363.34,417183.00,284649177,164107.56,302.09,533.14,4.39,50216913.00,0,Total
2005,US,US Airways Inc.,12,8426.00,8426.00,4306458,0.00,362.00,0.00,23.16,0.00,1,Total
2005,UA,United Air Lines Inc.,5355,966.98,479622.00,526316779,163868.54,266.81,571.14,3.35,81278794.00,0,Total
2005,UA,United Air Lines Inc.,209,40.62,6296.00,5799343,0.00,3.66,0.00,1.90,0.00,1,Total
2005,TZ,ATA Airlines d/b/a ATA,498,703.24,43601.00,47136451,118020.11,187.18,629.70,3.61,7317247.00,0,Total
2005,TZ,ATA Airlines d/b/a ATA,198,10.37,508.00,420024,0.00,7.14,0.00,1.45,0.00,1,Total
2005,OO,SkyWest Airlines Inc.,2709,2064.29,507815.00,192420500,165142.89,310.54,529.81,6.65,40625151.00,0,Total
2005,OO,SkyWest Airlines Inc.,17,1606.50,9639.00,3153443,0.00,61.67,0.00,18.91,0.00,1,Total
2005,OH,Comair Inc.,2019,2044.02,369967.00,165757874,187439.65,322.27,579.75,6.33,33926576.00,0,Total
2005,OH,Comair Inc.,1607,63.52,11370.00,5014673,0.00,23.04,0.00,1.87,0.00,1,Total
2005,NW,Northwest Airlines Inc.,4391,1199.73,473895.00,361111221,157771.70,300.59,525.40,3.90,62319821.00,0,Total
2005,NW,Northwest Airlines Inc.,2316,18.90,6937.00,3932930,0.00,12.54,0.00,1.52,0.00,1,Total
2005,MQ,Envoy Air,3037,1922.71,515286.00,204624668,167356.93,322.55,516.94,5.95,44851657.00,0,Total
2005,MQ,Envoy Air,12,16746.00,16746.00,6434897,0.00,364.00,0.00,45.77,0.00,1,Total
2005,HP,America West Airlines Inc.,1680,1320.04,195366.00,198146076,210167.50,324.95,642.22,4.06,31104790.00,0,Total
2005,HP,America West Airlines Inc.,856,16.58,2487.00,2227749,0.00,10.01,0.00,1.72,0.00,1,Total
2005,HA,Hawaiian Airlines Inc.,300,1924.56,48114.00,28619742,176245.80,325.76,536.64,6.08,4406145.00,0,Total
2005,HA,Hawaiian Airlines Inc.,11,69.00,69.00,23057,0.00,38.00,0.00,1.70,0.00,1,Total
2005,FL,AirTran Airways Corporation,1161,1803.21,192944.00,126128472,211955.52,322.89,656.19,5.57,22679241.00,0,Total
2005,FL,AirTran Airways Corporation,708,23.54,2448.00,1397573,0.00,13.07,0.00,1.78,0.00,1,Total
